"","kegg_id","gene_name","gene_path"
"LB10_fxndf.K05499","K05499","LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG","Brite Hierarchies; Protein families: genetic information processing; Transcription factors"
"LB10_fxndf.K05501","K05501","TetR/AcrR family transcriptional regulator","Brite Hierarchies; Protein families: genetic information processing; Transcription factors | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"LB10_fxndf.K05515","K05515","penicillin-binding protein 2 [EC:3.4.16.4]","Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"LB10_fxndf.K05516","K05516","curved DNA-binding protein","Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"LB10_fxndf.K05520","K05520","protease I [EC:3.5.1.124]","Brite Hierarchies; Protein families: metabolism; Peptidases"
"LB10_fxndf.K05521","K05521","ADP-ribosyl-[dinitrogen reductase] hydrolase [EC:3.2.2.24]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"LB10_fxndf.K05522","K05522","endonuclease VIII [EC:3.2.2.- 4.2.99.18]","Genetic Information Processing; Replication and repair; Base excision repair | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins"
"LB10_fxndf.K05524","K05524","ferredoxin","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism"
"LB10_fxndf.K05525","K05525","linalool 8-monooxygenase [EC:1.14.14.84]","Metabolism; Metabolism of terpenoids and polyketides; Monoterpenoid biosynthesis | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"LB10_fxndf.K05526","K05526","succinylglutamate desuccinylase [EC:3.5.1.96]","Metabolism; Amino acid metabolism; Arginine and proline metabolism"
"LB10_fxndf.K05527","K05527","BolA family transcriptional regulator, general stress-responsive regulator","Brite Hierarchies; Protein families: genetic information processing; Transcription factors"
"LB10_fxndf.K05533","K05533","mannan polymerase II complex ANP1 subunit [EC:2.4.1.-]","Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis"
"LB10_fxndf.K05539","K05539","tRNA-dihydrouridine synthase A [EC:1.-.-.-]","Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"LB10_fxndf.K05540","K05540","tRNA-dihydrouridine synthase B [EC:1.-.-.-]","Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"LB10_fxndf.K05541","K05541","tRNA-dihydrouridine synthase C [EC:1.-.-.-]","Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"LB10_fxndf.K05545","K05545","tRNA-dihydrouridine synthase 4 [EC:1.3.1.90]","Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"LB10_fxndf.K05546","K05546","mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207]","Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis | Genetic Information Processing; Folding, sorting and degradation; Protein processing in endoplasmic reticulum"
"LB10_fxndf.K05548","K05548","MFS transporter, AAHS family, benzoate transport protein","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05549","K05549","benzoate/toluate 1,2-dioxygenase subunit alpha [EC:1.14.12.10 1.14.12.-]","Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation"
"LB10_fxndf.K05550","K05550","benzoate/toluate 1,2-dioxygenase subunit beta [EC:1.14.12.10 1.14.12.-]","Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation"
"LB10_fxndf.K05555","K05555","cyclase [EC:4.-.-.-]","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of type II polyketide products | Brite Hierarchies; Protein families: metabolism; Polyketide biosynthesis proteins"
"LB10_fxndf.K05559","K05559","multicomponent K+:H+ antiporter subunit A","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05560","K05560","multicomponent K+:H+ antiporter subunit C","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05561","K05561","multicomponent K+:H+ antiporter subunit D","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05562","K05562","multicomponent K+:H+ antiporter subunit E","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05563","K05563","multicomponent K+:H+ antiporter subunit F","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05564","K05564","multicomponent K+:H+ antiporter subunit G","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05565","K05565","multicomponent Na+:H+ antiporter subunit A","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05566","K05566","multicomponent Na+:H+ antiporter subunit B","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05567","K05567","multicomponent Na+:H+ antiporter subunit C","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05568","K05568","multicomponent Na+:H+ antiporter subunit D","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05569","K05569","multicomponent Na+:H+ antiporter subunit E","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05570","K05570","multicomponent Na+:H+ antiporter subunit F","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05571","K05571","multicomponent Na+:H+ antiporter subunit G","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05589","K05589","cell division protein FtsB","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"LB10_fxndf.K05590","K05590","ATP-dependent RNA helicase SrmB [EC:3.6.4.13]","Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis"
"LB10_fxndf.K05591","K05591","ATP-independent RNA helicase DbpA [EC:3.6.4.13]","Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis"
"LB10_fxndf.K05592","K05592","ATP-dependent RNA helicase DeaD [EC:3.6.4.13]","Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis"
"LB10_fxndf.K05594","K05594","ElaB protein","Not Included in Pathway or Brite; Poorly characterized; General function prediction only"
"LB10_fxndf.K05595","K05595","multiple antibiotic resistance protein","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05596","K05596","LysR family transcriptional regulator, chromosome initiation inhibitor","Brite Hierarchies; Protein families: genetic information processing; Transcription factors | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins"
"LB10_fxndf.K05599","K05599","anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]","Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation"
"LB10_fxndf.K05600","K05600","anthranilate 1,2-dioxygenase (deaminating, decarboxylating) small subunit [EC:1.14.12.1]","Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation"
"LB10_fxndf.K05601","K05601","hydroxylamine reductase [EC:1.7.99.1]","Metabolism; Energy metabolism; Nitrogen metabolism"
"LB10_fxndf.K05602","K05602","histidinol-phosphatase [EC:3.1.3.15]","Metabolism; Amino acid metabolism; Histidine metabolism"
"LB10_fxndf.K05603","K05603","formimidoylglutamate deiminase [EC:3.5.3.13]","Metabolism; Amino acid metabolism; Histidine metabolism"
"LB10_fxndf.K05605","K05605","3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"
"LB10_fxndf.K05606","K05606","methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
"LB10_fxndf.K05607","K05607","methylglutaconyl-CoA hydratase [EC:4.2.1.18]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
"LB10_fxndf.K05619","K05619","transglutaminase 1 [EC:2.3.2.13]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"LB10_fxndf.K05635","K05635","laminin, gamma 1","Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signaling molecules and interaction; ECM-receptor interaction | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Specific types; Small cell lung cancer | Human Diseases; Neurodegenerative diseases; Prion diseases | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Infectious diseases: Parasitic; Amoebiasis | Human Diseases; Infectious diseases: Parasitic; Toxoplasmosis"
"LB10_fxndf.K05636","K05636","laminin, beta 1","Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signaling molecules and interaction; ECM-receptor interaction | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Specific types; Small cell lung cancer | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Infectious diseases: Parasitic; Amoebiasis | Human Diseases; Infectious diseases: Parasitic; Toxoplasmosis"
"LB10_fxndf.K05637","K05637","laminin, alpha 1/2","Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signaling molecules and interaction; ECM-receptor interaction | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Specific types; Small cell lung cancer | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Infectious diseases: Parasitic; Amoebiasis | Human Diseases; Infectious diseases: Parasitic; Toxoplasmosis"
"LB10_fxndf.K05643","K05643","ATP-binding cassette, subfamily A (ABC1), member 3","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05644","K05644","ATP-binding cassette, subfamily A (ABC1), member 4","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05648","K05648","ATP-binding cassette, subfamily A (ABC1), member 5","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05655","K05655","ATP-binding cassette, subfamily B (MDR/TAP), member 8","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05657","K05657","ATP-binding cassette, subfamily B (MDR/TAP), member 10","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05658","K05658","ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]","Environmental Information Processing; Membrane transport; ABC transporters | Organismal Systems; Digestive system; Bile secretion | Human Diseases; Cancers: Overview; MicroRNAs in cancer | Human Diseases; Cancers: Specific types; Gastric cancer | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome | Brite Hierarchies; Protein families: signaling and cellular processes; CD molecules"
"LB10_fxndf.K05662","K05662","ATP-binding cassette, subfamily B (MDR/TAP), member 7","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05665","K05665","ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]","Environmental Information Processing; Membrane transport; ABC transporters | Environmental Information Processing; Signal transduction; Sphingolipid signaling pathway | Organismal Systems; Digestive system; Vitamin digestion and absorption | Human Diseases; Cancers: Overview; MicroRNAs in cancer | Human Diseases; Drug resistance: Antineoplastic; Antifolate resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05666","K05666","ATP-binding cassette, subfamily C (CFTR/MRP), member 2","Environmental Information Processing; Membrane transport; ABC transporters | Organismal Systems; Digestive system; Bile secretion | Human Diseases; Drug resistance: Antineoplastic; Platinum drug resistance | Human Diseases; Drug resistance: Antineoplastic; Antifolate resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05673","K05673","ATP-binding cassette, subfamily C (CFTR/MRP), member 4","Environmental Information Processing; Membrane transport; ABC transporters | Environmental Information Processing; Signal transduction; cAMP signaling pathway | Organismal Systems; Digestive system; Bile secretion | Human Diseases; Drug resistance: Antineoplastic; Antifolate resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05674","K05674","ATP-binding cassette, subfamily C (CFTR/MRP), member 10","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05676","K05676","ATP-binding cassette, subfamily D (ALD), member 2","Environmental Information Processing; Membrane transport; ABC transporters | Cellular Processes; Transport and catabolism; Peroxisome | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05679","K05679","ATP-binding cassette, subfamily G (WHITE), member 1","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05685","K05685","macrolide transport system ATP-binding/permease protein [EC:3.6.3.-]","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05687","K05687","protein DJ-1 [EC:3.5.1.124]","Human Diseases; Neurodegenerative diseases; Parkinson disease | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K05688","K05688","PTEN induced putative kinase 1 [EC:2.7.11.1]","Cellular Processes; Transport and catabolism; Mitophagy - animal | Human Diseases; Neurodegenerative diseases; Parkinson disease | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis"
"LB10_fxndf.K05692","K05692","actin beta/gamma 1","Environmental Information Processing; Signal transduction; Rap1 signaling pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway | Environmental Information Processing; Signal transduction; Hippo signaling pathway - fly | Cellular Processes; Transport and catabolism; Phagosome | Cellular Processes; Cell growth and death; Apoptosis | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cellular community - eukaryotes; Adherens junction | Cellular Processes; Cellular community - eukaryotes; Tight junction | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Platelet activation | Organismal Systems; Immune system; Leukocyte transendothelial migration | Organismal Systems; Endocrine system; Oxytocin signaling pathway | Organismal Systems; Endocrine system; Thyroid hormone signaling pathway | Organismal Systems; Sensory system; Phototransduction - fly | Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Cancers: Specific types; Hepatocellular carcinoma | Human Diseases; Cardiovascular diseases; Fluid shear stress and atherosclerosis | Human Diseases; Cardiovascular diseases; Hypertrophic cardiomyopathy (HCM) | Human Diseases; Cardiovascular diseases; Arrhythmogenic right ventricular cardiomyopathy (ARVC) | Human Diseases; Cardiovascular diseases; Dilated cardiomyopathy (DCM) | Human Diseases; Cardiovascular diseases; Viral myocarditis | Human Diseases; Infectious diseases: Bacterial; Vibrio cholerae infection | Human Diseases; Infectious diseases: Bacterial; Pathogenic Escherichia coli infection | Human Diseases; Infectious diseases: Bacterial; Salmonella infection | Human Diseases; Infectious diseases: Bacterial; Shigellosis | Human Diseases; Infectious diseases: Bacterial; Bacterial invasion of epithelial cells | Human Diseases; Infectious diseases: Viral; Influenza A | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K05695","K05695","receptor-type tyrosine-protein phosphatase F [EC:3.1.3.48]","Environmental Information Processing; Signaling molecules and interaction; Cell adhesion molecules (CAMs) | Cellular Processes; Cellular community - eukaryotes; Adherens junction | Organismal Systems; Endocrine system; Insulin signaling pathway | Human Diseases; Endocrine and metabolic diseases; Insulin resistance | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins"
"LB10_fxndf.K05696","K05696","tyrosine-protein phosphatase non-receptor type 1 [EC:3.1.3.48]","Cellular Processes; Cellular community - eukaryotes; Adherens junction | Organismal Systems; Endocrine system; Insulin signaling pathway | Human Diseases; Endocrine and metabolic diseases; Insulin resistance | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins"
"LB10_fxndf.K05699","K05699","actinin alpha 1/4","Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cellular community - eukaryotes; Adherens junction | Cellular Processes; Cellular community - eukaryotes; Tight junction | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Leukocyte transendothelial migration | Human Diseases; Cancers: Overview; Viral carcinogenesis | Human Diseases; Immune diseases; Systemic lupus erythematosus | Human Diseases; Infectious diseases: Parasitic; Amoebiasis | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K05701","K05701","tight junction protein 1","Cellular Processes; Cellular community - eukaryotes; Adherens junction | Cellular Processes; Cellular community - eukaryotes; Tight junction | Cellular Processes; Cellular community - eukaryotes; Gap junction | Human Diseases; Infectious diseases: Bacterial; Vibrio cholerae infection | Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection | Human Diseases; Infectious diseases: Bacterial; Salmonella infection | Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins"
"LB10_fxndf.K05708","K05708","3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha [EC:1.14.12.19]","Metabolism; Amino acid metabolism; Phenylalanine metabolism"
"LB10_fxndf.K05709","K05709","3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:1.14.12.19]","Metabolism; Amino acid metabolism; Phenylalanine metabolism"
"LB10_fxndf.K05710","K05710","3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component","Metabolism; Amino acid metabolism; Phenylalanine metabolism"
"LB10_fxndf.K05711","K05711","2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]","Metabolism; Amino acid metabolism; Phenylalanine metabolism"
"LB10_fxndf.K05712","K05712","3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]","Metabolism; Amino acid metabolism; Phenylalanine metabolism"
"LB10_fxndf.K05713","K05713","2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16]","Metabolism; Amino acid metabolism; Phenylalanine metabolism"
"LB10_fxndf.K05714","K05714","2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]","Metabolism; Amino acid metabolism; Phenylalanine metabolism"
"LB10_fxndf.K05719","K05719","integrin beta 1","Environmental Information Processing; Signal transduction; Rap1 signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signaling molecules and interaction; ECM-receptor interaction | Environmental Information Processing; Signaling molecules and interaction; Cell adhesion molecules (CAMs) | Cellular Processes; Transport and catabolism; Phagosome | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cellular community - eukaryotes; Tight junction | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Platelet activation | Organismal Systems; Immune system; Leukocyte transendothelial migration | Organismal Systems; Development; Axon guidance | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Cancers: Specific types; Small cell lung cancer | Human Diseases; Cardiovascular diseases; Hypertrophic cardiomyopathy (HCM) | Human Diseases; Cardiovascular diseases; Arrhythmogenic right ventricular cardiomyopathy (ARVC) | Human Diseases; Cardiovascular diseases; Dilated cardiomyopathy (DCM) | Human Diseases; Infectious diseases: Bacterial; Pathogenic Escherichia coli infection | Human Diseases; Infectious diseases: Bacterial; Shigellosis | Human Diseases; Infectious diseases: Bacterial; Pertussis | Human Diseases; Infectious diseases: Bacterial; Bacterial invasion of epithelial cells | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Infectious diseases: Parasitic; Toxoplasmosis | Human Diseases; Infectious diseases: Parasitic; Leishmaniasis | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome | Brite Hierarchies; Protein families: signaling and cellular processes; Cell adhesion molecules | Brite Hierarchies; Protein families: signaling and cellular processes; CD molecules"
"LB10_fxndf.K05725","K05725","focal adhesion kinase 1 [EC:2.7.10.2]","Environmental Information Processing; Signal transduction; ErbB signaling pathway | Environmental Information Processing; Signal transduction; VEGF signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Leukocyte transendothelial migration | Organismal Systems; Immune system; Chemokine signaling pathway | Organismal Systems; Development; Axon guidance | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Transcriptional misregulation in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Cancers: Specific types; Small cell lung cancer | Human Diseases; Cardiovascular diseases; Fluid shear stress and atherosclerosis | Human Diseases; Infectious diseases: Bacterial; Bacterial invasion of epithelial cells | Human Diseases; Infectious diseases: Viral; Human immunodeficiency virus 1 infection | Human Diseases; Infectious diseases: Viral; Human cytomegalovirus infection | Human Diseases; Infectious diseases: Viral; Human papillomavirus infection | Human Diseases; Infectious diseases: Parasitic; Amoebiasis | Human Diseases; Drug resistance: Antineoplastic; Endocrine resistance | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins"
"LB10_fxndf.K05730","K05730","guanine nucleotide exchange factor VAV","Environmental Information Processing; Signal transduction; cAMP signaling pathway | Cellular Processes; Cellular community - eukaryotes; Focal adhesion | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Natural killer cell mediated cytotoxicity | Organismal Systems; Immune system; T cell receptor signaling pathway | Organismal Systems; Immune system; B cell receptor signaling pathway | Organismal Systems; Immune system; Fc epsilon RI signaling pathway | Organismal Systems; Immune system; Fc gamma R-mediated phagocytosis | Organismal Systems; Immune system; Leukocyte transendothelial migration | Organismal Systems; Immune system; Chemokine signaling pathway"
"LB10_fxndf.K05743","K05743","LIM domain kinase 1 [EC:2.7.11.1]","Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Fc gamma R-mediated phagocytosis | Organismal Systems; Development; Axon guidance | Human Diseases; Infectious diseases: Viral; Human immunodeficiency virus 1 infection | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"LB10_fxndf.K05749","K05749","cytoplasmic FMR1 interacting protein","Genetic Information Processing; Translation; RNA transport | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis"
"LB10_fxndf.K05750","K05750","NCK-associated protein 1","Cellular Processes; Cell motility; Regulation of actin cytoskeleton"
"LB10_fxndf.K05761","K05761","villin 1","Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins"
"LB10_fxndf.K05762","K05762","radixin","Cellular Processes; Cellular community - eukaryotes; Tight junction | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Human Diseases; Cancers: Overview; MicroRNAs in cancer | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K05763","K05763","moesin","Cellular Processes; Cellular community - eukaryotes; Tight junction | Cellular Processes; Cell motility; Regulation of actin cytoskeleton | Organismal Systems; Immune system; Leukocyte transendothelial migration | Human Diseases; Cancers: Overview; Proteoglycans in cancer | Human Diseases; Infectious diseases: Viral; Measles | Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K05770","K05770","translocator protein","Environmental Information Processing; Signaling molecules and interaction; Neuroactive ligand-receptor interaction | Cellular Processes; Cell growth and death; Apoptosis - fly | Organismal Systems; Digestive system; Cholesterol metabolism | Human Diseases; Infectious diseases: Viral; Human T-cell leukemia virus 1 infection | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05774","K05774","ribose 1,5-bisphosphokinase [EC:2.7.4.23]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"LB10_fxndf.K05775","K05775","maltose operon periplasmic protein","Not Included in Pathway or Brite; Poorly characterized; General function prediction only"
"LB10_fxndf.K05776","K05776","molybdate transport system ATP-binding protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05780","K05780","alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]","Metabolism; Metabolism of other amino acids; Phosphonate and phosphinate metabolism"
"LB10_fxndf.K05781","K05781","putative phosphonate transport system ATP-binding protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"LB10_fxndf.K05782","K05782","benzoate membrane transport protein","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"LB10_fxndf.K05783","K05783","dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-]","Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation"
"LB10_fxndf.K05784","K05784","benzoate/toluate 1,2-dioxygenase reductase component [EC:1.18.1.-]","Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation"
"LB10_fxndf.K05785","K05785","transcriptional antiterminator RfaH","Brite Hierarchies; Protein families: genetic information processing; Transcription factors"
"LB10_fxndf.K05786","K05786","chloramphenicol-sensitive protein RarD","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
